year,origin,destination,male-germans,female-germans,all-germans,male-foreigners,female-foreigners,all-foreigners,all-males,all-females,all
2000,Sachsen,Schleswig-Holstein,483,496,979,42,24,66,525,520,1045
2000,Sachsen,Hamburg,343,370,713,145,68,213,488,438,926
2000,Sachsen,Niedersachsen,1773,1810,3583,202,143,345,1975,1953,3928
2000,Sachsen,Bremen,97,132,229,21,19,40,118,151,269
2000,Sachsen,Nordrhein-Westfalen,3036,3277,6313,791,370,1161,3827,3647,7474
2000,Sachsen,Hessen,1874,2151,4025,391,176,567,2265,2327,4592
2000,Sachsen,Rheinland-Pfalz,973,1049,2022,136,77,213,1109,1126,2235
2000,Sachsen,Baden-Wuerttemberg,5668,5452,11120,557,386,943,6225,5838,12063
2000,Sachsen,Bayern,7696,8141,15837,739,350,1089,8435,8491,16926
2000,Sachsen,Saarland,110,118,228,17,12,29,127,130,257
2000,Sachsen,Berlin,1450,1688,3138,402,220,622,1852,1908,3760
2000,Sachsen,Brandenburg,1511,1715,3226,117,70,187,1628,1785,3413
2000,Sachsen,Mecklenburg-Vorpommern,591,649,1240,46,20,66,637,669,1306
2000,Sachsen,Sachsen,0,0,0,0,0,0,0,0,0
2000,Sachsen,Sachsen-Anhalt,1497,1582,3079,228,98,326,1725,1680,3405
2000,Sachsen,Thueringen,1571,1697,3268,141,51,192,1712,1748,3460
2000,Sachsen,Insgesamt,28673,30327,59000,3975,2084,6059,32648,32411,65059
2000,Sachsen-Anhalt,Schleswig-Holstein,501,498,999,58,25,83,559,523,1082
2000,Sachsen-Anhalt,Hamburg,327,342,669,82,33,115,409,375,784
2000,Sachsen-Anhalt,Niedersachsen,4748,5344,10092,393,258,651,5141,5602,10743
2000,Sachsen-Anhalt,Bremen,129,182,311,26,13,39,155,195,350
2000,Sachsen-Anhalt,Nordrhein-Westfalen,2602,2801,5403,653,346,999,3255,3147,6402
2000,Sachsen-Anhalt,Hessen,1197,1300,2497,243,123,366,1440,1423,2863
2000,Sachsen-Anhalt,Rheinland-Pfalz,662,703,1365,111,67,178,773,770,1543
2000,Sachsen-Anhalt,Baden-Wuerttemberg,2648,2596,5244,320,182,502,2968,2778,5746
2000,Sachsen-Anhalt,Bayern,3059,3066,6125,485,221,706,3544,3287,6831
2000,Sachsen-Anhalt,Saarland,66,63,129,14,10,24,80,73,153
2000,Sachsen-Anhalt,Berlin,1087,1217,2304,302,216,518,1389,1433,2822
2000,Sachsen-Anhalt,Brandenburg,989,1181,2170,92,46,138,1081,1227,2308
2000,Sachsen-Anhalt,Mecklenburg-Vorpommern,554,610,1164,29,10,39,583,620,1203
2000,Sachsen-Anhalt,Sachsen,2383,2369,4752,217,125,342,2600,2494,5094
2000,Sachsen-Anhalt,Sachsen-Anhalt,0,0,0,0,0,0,0,0,0
2000,Sachsen-Anhalt,Thueringen,1227,1368,2595,66,42,108,1293,1410,2703
2000,Sachsen-Anhalt,Insgesamt,22179,23640,45819,3091,1717,4808,25270,25357,50627
2000,Thueringen,Schleswig-Holstein,242,227,469,32,15,47,274,242,516
2000,Thueringen,Hamburg,170,174,344,30,14,44,200,188,388
2000,Thueringen,Niedersachsen,1322,1464,2786,124,79,203,1446,1543,2989
2000,Thueringen,Bremen,51,68,119,10,5,15,61,73,134
2000,Thueringen,Nordrhein-Westfalen,1583,1873,3456,305,218,523,1888,2091,3979
2000,Thueringen,Hessen,2152,2514,4666,213,136,349,2365,2650,5015
2000,Thueringen,Rheinland-Pfalz,596,655,1251,65,35,100,661,690,1351
2000,Thueringen,Baden-Wuerttemberg,2248,2288,4536,213,145,358,2461,2433,4894
2000,Thueringen,Bayern,3812,4217,8029,317,188,505,4129,4405,8534
2000,Thueringen,Saarland,55,63,118,6,3,9,61,66,127
2000,Thueringen,Berlin,664,705,1369,101,97,198,765,802,1567
2000,Thueringen,Brandenburg,389,438,827,18,7,25,407,445,852
2000,Thueringen,Mecklenburg-Vorpommern,278,308,586,13,6,19,291,314,605
